,importance
koi_fpflag_ss,0.1027707854100515
koi_fpflag_nt,0.08247736679091162
sy_pnum,0.07918404973349391
koi_fpflag_co,0.0629436332537849
koi_score,0.03238335012089795
koi_model_snr,0.027227767278405104
koi_fpflag_ec,0.017965235789360975
toi,0.014687380555402335
disc_year,0.007592643017005157
st_mass,0.006202556317521771
koi_period,0.005634774204073184
pl_rade,0.005429724339958822
st_tmag,0.004668644813949366
pl_insol,0.004178282177930356
pl_orbper,0.0039060601624718444
st_dist,0.002749940361103778
sy_disterr1,0.0024303139379364125
sy_dist,0.0023362387445764465
koi_tce_plnt_num,0.002137285595577826
koi_duration_err1,0.0020136228727295202
st_teff,0.0017019143148074428
pl_orbpererr1,0.0016591671532216468
koi_duration,0.001642547898121266
sy_vmag,0.0016000370703815603
sy_gaiamag,0.0015681343037835388
sy_gaiamagerr1,0.001544437777298166
pl_orbpererr2,0.0013522002264049898
st_loggerr1,0.001340019773527601
koi_prad,0.0013102287205528362
st_raderr2,0.0011268308526908577
koi_slogg_err2,0.00105866533277299
pl_trandep,0.0009644359005590852
st_pmdec,0.0009496480031343513
pl_radeerr2,0.0009395159434860967
koi_duration_err2,0.000819145148505257
sy_kmag,0.0007641258253158895
st_logg,0.000761780121398839
pl_trandurh,0.0007325576555702179
pl_tranmid,0.0007304914390732359
st_pmra,0.000580625727623435
pl_radeerr1,0.0005338448373346655
st_loggerr2,0.00045582768991815625
pl_trandeperr1,0.0004322777076936485
ra,0.00041996665937901745
st_pmdecerr2,0.0004168982088582629
pl_eqt,0.0004104003001290102
st_masserr2,0.00036480050659921937
koi_impact,0.00035960994730044327
st_pmraerr2,0.00035874427054019553
st_disterr1,0.00032816768347516956
sy_gaiamagerr2,0.00029872775866619794
st_meterr2,0.0002592089976366646
koi_time0bk_err1,0.00024065783992996415
st_meterr1,0.00021762087238572092
st_pmraerr1,0.00020866874200875518
st_met,0.00018593567902476515
st_masserr1,0.00014919217614188518
kepid,0.00013732561909432506
pl_radj,9.829679076268916e-05
koi_slogg,8.375986217050435e-05
pl_eqterr2,3.746702600293528e-05
pl_radjerr2,2.2047337795316757e-05
sy_disterr2,2.1741341499903477e-05
sy_kmagerr2,1.950686563874371e-05
st_masslim,0.0
st_metlim,0.0
ttv_flag,0.0
pl_orbeccenlim,0.0
pl_orbeccenerr2,0.0
pl_orbeccenerr1,0.0
pl_bmasselim,0.0
pl_orbeccen,0.0
pl_bmassjlim,0.0
pl_bmassjerr2,0.0
pl_bmassjerr1,0.0
pl_bmassj,0.0
pl_bmasse,0.0
pl_bmasseerr2,0.0
pl_trandeplim,0.0
pl_insolerr1,0.0
pl_insolerr2,0.0
pl_insollim,0.0
pl_eqterr1,0.0
pl_eqtlim,0.0
pl_bmasseerr1,0.0
st_tmagerr2,0.0
pl_trandurhlim,0.0
st_tmaglim,0.0
pl_orbperlim,0.0
pl_tranmidlim,0.0
st_distlim,0.0
st_pmdeclim,0.0
st_tefflim,0.0
st_logglim,0.0
sy_snum,0.0
pl_radjlim,0.0
pl_radjerr1,0.0
pl_orbsmaxlim,0.0
pl_orbsmaxerr2,0.0
pl_orbsmaxerr1,0.0
pl_controv_flag,0.0
st_pmralim,0.0
st_radlim,0.0
pl_radelim,0.0
st_pmdecerr1,-1.7196763693466677e-05
koi_depth,-2.771822864769402e-05
pl_trandurherr2,-2.8015904378606016e-05
pl_orbsmax,-4.05781395060173e-05
st_rad,-4.8858401991425104e-05
dec,-5.554325691292661e-05
koi_kepmag,-6.161672035091825e-05
koi_time0bk_err2,-6.588165574152038e-05
koi_steff,-8.472267022313629e-05
koi_insol_err1,-8.69975971133502e-05
st_tefferr2,-8.812881099712344e-05
sy_kmagerr1,-0.00011505336416958722
st_tmagerr1,-0.00014376158899423452
koi_insol,-0.0001510428845246936
sy_vmagerr2,-0.00015241677243539586
sy_vmagerr1,-0.0001579206533569022
st_tefferr1,-0.00019654845415142952
st_disterr2,-0.0002112962845382954
default_flag,-0.0002463196817881347
koi_impact_err1,-0.0003377378419622129
pl_trandurherr1,-0.00036839765551510695
koi_prad_err1,-0.0003960408891400119
koi_slogg_err1,-0.0004462399341293166
koi_srad,-0.00046097403738949716
pl_tranmiderr2,-0.0005015357065185494
koi_depth_err1,-0.0005231459646440617
st_raderr1,-0.0005267162265004122
koi_period_err2,-0.0005336976705327123
koi_prad_err2,-0.0005644159154525874
koi_period_err1,-0.000780567860831069
koi_srad_err2,-0.0008177821454772721
tid,-0.0009469785005524617
koi_srad_err1,-0.0009489138887076726
pl_trandeperr2,-0.0009614074596592803
koi_teq,-0.0009684577867490329
koi_steff_err2,-0.0009714896811813117
koi_steff_err1,-0.00111116255941493
pl_tranmiderr1,-0.0012570027453828875
koi_impact_err2,-0.0012837744908893028
koi_time0bk,-0.0013856709833378195
koi_depth_err2,-0.001707499175653951
koi_insol_err2,-0.0017891850791887792
